,genre,age,revenu,achat,profession_artiste,profession_enseignant,profession_ingénieur,profession_médecin,profession_vendeur,profession_étudiant
0,0,0.6961170955933427,-0.2756983800328031,1,True,False,False,False,False,False
1,1,1.2663948416175652,0.42941598671364917,1,False,False,False,False,False,True
2,0,0.19712406782214806,-1.2006807773563228,0,False,False,False,False,True,False
3,0,0.8386865320993984,-0.23454534372570504,1,False,False,False,False,True,False
4,1,0.7674018138463705,-0.16081733405628537,1,True,False,False,False,False,False
5,0,-0.8008619877202412,0.5255520794263701,1,True,False,False,False,False,False
6,1,0.19712406782214806,0.19939711457891765,0,False,False,True,False,False,False
7,0,1.337679559870593,0.06733185738047329,0,False,False,True,False,False,False
8,1,-0.4444383964551022,-1.184038211830161,0,False,True,False,False,False,False
9,0,-0.08801480518996314,1.2706318741395772,1,False,False,False,True,False,False
10,1,1.4089642781236207,1.1145576699525712,1,False,False,False,False,True,False
11,1,-0.9434314242262968,1.3752858469419902,1,False,False,True,False,False,False
12,0,-1.3711397337444637,-0.9714001482439669,0,False,False,False,True,False,False
13,0,0.05455463131609246,1.187635704787073,0,False,False,False,False,True,False
14,0,1.694103151135732,-0.612926990215889,0,False,False,False,True,False,False
15,0,1.1238254051115095,1.2739058214561991,0,False,False,False,False,True,False
16,0,1.0525406868584817,-1.64841313385608,0,False,False,False,False,False,True
17,0,-0.37315367820207435,-0.6358526458129212,0,False,False,True,False,False,False
18,1,0.05455463131609246,1.4349832269959348,0,False,False,False,False,True,False
19,1,-1.4424244519974914,-1.6170137322630849,0,True,False,False,False,False,False
20,0,0.9099712503524261,1.450036965147854,0,True,False,False,False,False,False
21,1,0.05455463131609246,1.7078242066187876,0,False,False,False,False,True,False
22,0,-1.0147161424793247,-1.0764874376029916,0,True,False,False,False,False,False
23,1,-1.4424244519974914,-0.7021540911648563,1,False,False,False,False,True,False
24,0,-1.5137091702505192,-1.157032158658368,0,False,True,False,False,False,False
25,1,-1.584993888503547,0.07540438434253638,0,False,False,False,False,True,False
26,0,-1.0860008607323524,0.0034741612577178635,1,False,False,False,False,False,True
27,1,0.7674018138463705,-1.4207574418310183,0,True,False,False,False,False,False
29,1,-1.0860008607323524,-0.7116790310296364,1,False,False,True,False,False,False
30,0,1.4089642781236207,1.403531666928533,1,False,False,False,False,True,False
31,0,-0.872146705973269,1.3262769419511349,1,False,False,False,False,True,False
32,1,0.4109782225812315,-0.888343796036378,0,False,False,False,False,False,True
33,0,0.6248323773403149,-0.13368289079364468,0,False,False,False,False,False,True
34,1,-1.0147161424793247,-0.16695598527495176,0,False,True,False,False,False,False
35,1,-0.51572311470813,-0.2989209377149212,0,True,False,False,False,False,False
36,0,0.33969350432820367,1.0281431144312412,1,False,False,False,True,False,False
37,1,-0.872146705973269,-0.9985586646486415,1,False,False,False,False,False,True
38,0,-1.228570297238408,0.23321185475598918,1,False,False,False,True,False,False
39,0,-0.23058424169601877,-1.1148560138148256,0,False,False,True,False,False,False
40,0,-1.5137091702505192,1.4272196386899751,0,False,False,False,False,True,False
41,0,1.6228184328827042,0.0034741612577178635,0,False,False,False,False,True,False
42,0,0.8386865320993984,0.14087530629429906,0,True,False,False,False,False,False
43,0,1.694103151135732,1.189585629291826,1,True,False,False,False,False,False
44,0,-0.8008619877202412,1.3665151988609412,0,True,False,False,False,False,False
45,0,0.19712406782214806,0.01847942781283864,1,False,False,True,False,False,False
46,0,1.2663948416175652,1.5856369620349557,1,False,False,False,True,False,False
47,1,-0.37315367820207435,0.4656661264264921,0,True,False,False,False,False,False
48,0,1.4089642781236207,-1.4736782324023963,0,True,False,False,False,False,False
49,0,1.6228184328827042,-0.8648203240788351,0,False,True,False,False,False,False
50,1,0.6248323773403149,-1.6194892537022465,0,True,False,False,False,False,False
51,0,-1.1572855789853802,0.8351447225544406,0,True,False,False,False,False,False
52,0,1.4089642781236207,-0.38060913301691174,0,False,False,False,True,False,False
53,1,-0.8008619877202412,1.454037118915835,1,False,True,False,False,False,False
54,1,-1.1572855789853802,-0.17233633251954744,1,True,False,False,False,False,False
55,0,-0.30186895994904656,-1.680253876386365,0,False,True,False,False,False,False
56,1,-1.3711397337444637,0.0034741612577178635,1,False,False,False,False,False,True
57,0,0.19712406782214806,-0.18716137582214346,0,False,False,True,False,False,False
58,1,-1.584993888503547,-0.049747868901815324,1,False,False,False,False,True,False
59,0,-0.30186895994904656,0.36183866483391275,1,False,True,False,False,False,False
60,0,1.1238254051115095,-1.6409986061096127,1,True,False,False,False,False,False
61,1,0.2684087860751759,-0.3904871456315241,1,False,False,True,False,False,False
62,1,0.33969350432820367,-0.8163049184996763,1,False,False,False,True,False,False
63,0,0.9812559686054539,-0.7463403433682366,0,True,False,False,False,False,False
64,0,1.5515337146296764,0.6510654298012315,0,False,False,False,False,True,False
65,0,0.05455463131609246,0.0034741612577178635,1,True,False,False,False,False,False
66,1,0.9099712503524261,-0.8472629791553818,1,True,False,False,False,False,False
67,0,0.05455463131609246,-0.32188671521534323,0,False,False,False,True,False,False
68,1,-1.5137091702505192,-0.8969900662169179,1,True,False,False,False,False,False
69,1,1.5515337146296764,-0.5257942526238785,1,False,False,False,True,False,False
70,0,-0.4444383964551022,1.8473521378477678,1,True,False,False,False,False,False
71,0,0.12583934956912027,1.783931445159233,0,False,False,False,True,False,False
72,1,0.19712406782214806,-0.7612175451452396,1,True,False,False,False,False,False
73,1,-1.1572855789853802,0.5063898583673175,1,False,False,True,False,False,False
74,1,0.4822629408342593,0.562143255318028,0,False,False,False,False,False,True
75,1,0.12583934956912027,-0.10506794929591404,1,False,True,False,False,False,False
76,1,1.6228184328827042,0.8448461987941369,1,True,False,False,False,False,False
77,1,-1.0147161424793247,1.6144846105723483,0,False,False,False,False,False,True
78,1,1.5515337146296764,-1.7454158596820246,0,False,False,False,False,True,False
79,1,0.05455463131609246,0.0034741612577178635,0,False,False,False,True,False,False
80,0,0.9099712503524261,0.13875285760496897,1,False,False,False,False,True,False
81,0,-0.6582925512141856,-0.5580081288556901,1,False,False,False,True,False,False
82,1,0.6961170955933427,1.199961153508474,1,False,False,False,True,False,False
83,0,-0.51572311470813,1.1692157389407352,0,False,True,False,False,False,False
84,1,-1.5137091702505192,0.12339419298728634,1,False,True,False,False,False,False
85,1,-0.872146705973269,1.1086276526315328,0,False,True,False,False,False,False
86,1,-1.584993888503547,-1.6469767697147188,0,True,False,False,False,False,False
87,0,-0.9434314242262968,-1.3279354183383092,0,False,True,False,False,False,False
88,1,0.19712406782214806,0.3576940722137283,0,False,True,False,False,False,False
89,0,-0.872146705973269,-1.6407137405955436,0,False,True,False,False,False,False
90,1,1.694103151135732,-0.05368382762437175,0,False,False,False,False,False,True
91,1,-0.5870078329611578,1.6359137191729343,1,True,False,False,False,False,False
92,1,-0.7295772694672134,0.1050905806607794,0,False,True,False,False,False,False
93,0,-0.7295772694672134,0.0034741612577178635,0,False,False,False,False,False,True
94,0,1.2663948416175652,0.5450753976159323,1,False,False,False,True,False,False
95,1,-0.9434314242262968,-1.1931779814223973,1,True,False,False,False,False,False
96,1,-1.228570297238408,-0.4850544719216971,0,False,True,False,False,False,False
97,0,-1.3711397337444637,-0.7041601863343551,0,False,True,False,False,False,False
98,0,-1.0860008607323524,-0.617882045284551,0,False,False,True,False,False,False
99,1,0.6248323773403149,-1.599055168305732,1,False,False,False,True,False,False
101,1,0.6248323773403149,-0.4703377577582538,0,True,False,False,False,False,False
102,1,1.4802489963766485,-1.1776548170008156,1,False,False,False,False,False,True
103,0,-0.6582925512141856,1.67439463671426,1,False,False,False,False,True,False
104,1,1.6228184328827042,-1.582228042023976,0,False,False,False,True,False,False
105,1,1.1238254051115095,1.3103645950666705,1,False,False,False,False,False,True
106,1,-0.6582925512141856,-0.4411570974227246,0,False,False,True,False,False,False
107,0,-0.23058424169601877,0.786380561174264,1,False,False,False,False,True,False
108,0,-1.5137091702505192,0.0034741612577178635,0,False,False,True,False,False,False
109,0,0.12583934956912027,-1.6436346151623338,0,False,False,True,False,False,False
110,1,0.19712406782214806,1.0938908775163945,1,False,True,False,False,False,False
111,0,-1.4424244519974914,-1.2671427103218178,0,False,True,False,False,False,False
112,0,-0.6582925512141856,1.2636667117110771,1,False,False,False,True,False,False
113,1,-0.30186895994904656,1.302913957607152,0,False,False,True,False,False,False
114,1,1.2663948416175652,0.0034741612577178635,1,False,False,False,False,True,False
115,0,0.9099712503524261,1.2824959209719928,0,False,False,False,False,True,False
116,0,1.7653878693887597,0.0034741612577178635,1,False,False,True,False,False,False
117,1,-0.4444383964551022,-0.9177892609342813,1,False,False,False,True,False,False
118,1,0.4822629408342593,0.0034741612577178635,1,False,False,False,True,False,False
119,0,1.1951101233645374,-0.4777883952177722,1,False,False,True,False,False,False
120,0,-0.872146705973269,1.2683609744077047,0,False,False,False,False,False,True
121,1,0.12583934956912027,-0.6854593671642872,0,False,False,False,False,False,True
122,1,-0.08801480518996314,-0.24836733944355163,0,False,True,False,False,False,False
123,0,-0.51572311470813,1.4269588463179397,0,False,False,False,False,True,False
124,0,0.2684087860751759,-0.5424649034824134,1,False,False,False,False,False,True
125,1,0.4822629408342593,-1.3966441778936427,1,False,True,False,False,False,False
126,1,1.337679559870593,0.6958254252230887,0,False,False,False,False,True,False
127,1,-0.15929952344299095,-1.180675996326081,0,False,False,False,False,False,True
128,1,-0.7295772694672134,-1.2574974047468677,0,False,False,False,True,False,False
129,1,-0.5870078329611578,1.0970885932165757,0,False,True,False,False,False,False
130,0,0.4109782225812315,0.10517082446755929,1,True,False,False,False,False,False
131,1,-0.9434314242262968,0.5909668307133866,1,False,False,False,True,False,False
132,1,-1.584993888503547,0.993517911805692,1,False,False,False,False,True,False
133,1,-0.15929952344299095,-0.374105372477397,0,False,False,False,False,False,True
134,1,-0.51572311470813,-1.1178892297111076,0,False,False,False,False,False,True
135,1,-0.37315367820207435,0.6638723413633117,1,False,False,True,False,False,False
136,1,-0.30186895994904656,0.03481305468289781,0,False,False,False,False,True,False
137,0,1.0525406868584817,0.4358836375401132,1,False,False,False,False,True,False
138,1,1.4089642781236207,-0.4311627312882813,1,False,False,False,False,False,True
139,0,1.337679559870593,1.307953268672933,1,True,False,False,False,False,False
140,1,-1.5137091702505192,-0.058839492209983794,0,False,False,False,False,False,True
141,1,1.0525406868584817,1.6793898136863123,1,False,False,False,True,False,False
142,0,0.2684087860751759,0.41646062410902596,1,False,False,True,False,False,False
143,1,0.4822629408342593,-0.20059820126744626,1,False,False,False,False,False,True
144,0,1.4802489963766485,-0.7277197680049488,1,False,False,False,False,False,True
145,1,-0.9434314242262968,-1.0090665911464762,1,True,False,False,False,False,False
146,0,1.337679559870593,0.5341702642745371,1,False,True,False,False,False,False
147,1,-1.584993888503547,-0.290964764272689,0,True,False,False,False,False,False
148,1,0.19712406782214806,-1.495805462121968,1,False,False,False,False,True,False
149,1,1.1238254051115095,0.9186664888413533,1,False,True,False,False,False,False
150,1,-0.51572311470813,-1.4979399473823145,1,False,False,False,False,True,False
151,1,1.2663948416175652,-1.4761738147932528,1,False,False,False,True,False,False
152,0,1.1951101233645374,0.2637727085681338,0,True,False,False,False,False,False
153,1,-0.08801480518996314,0.03555932208595123,1,False,False,False,False,True,False
154,1,0.4109782225812315,1.294448235991867,1,False,False,False,True,False,False
155,1,-1.0147161424793247,1.0729151464241153,1,False,False,False,False,True,False
156,0,1.6228184328827042,-1.6840132987340057,1,True,False,False,False,False,False
157,0,-1.5137091702505192,0.5180813810151567,1,False,False,False,False,False,True
158,0,-1.0147161424793247,-1.4917009914051735,1,False,False,True,False,False,False
159,1,-0.5870078329611578,-0.30334237146849635,0,False,True,False,False,False,False
160,1,1.4089642781236207,1.6552083425131736,1,False,False,False,True,False,False
161,1,0.6248323773403149,0.8771082213100164,0,False,False,False,False,False,True
162,1,-1.4424244519974914,-0.7013757262390907,0,False,False,False,True,False,False
163,0,0.05455463131609246,-1.276611479521852,1,False,False,False,False,False,True
164,0,-0.872146705973269,-0.6912810553461728,0,False,False,False,True,False,False
165,0,1.694103151135732,-1.14577796475748,0,False,False,False,False,True,False
166,1,0.4109782225812315,1.760724936238471,1,False,False,False,False,True,False
167,1,-0.4444383964551022,0.7400999456139268,1,False,False,False,True,False,False
168,0,0.05455463131609246,-0.05375604705047383,0,True,False,False,False,False,False
169,1,0.4822629408342593,-0.1406600897931616,0,False,False,False,False,False,True
170,1,-0.37315367820207435,0.0034741612577178635,1,False,True,False,False,False,False
171,0,-0.7295772694672134,0.46225576463834417,1,False,False,True,False,False,False
172,1,-1.228570297238408,-0.6113702603643579,1,True,False,False,False,False,False
173,1,0.4822629408342593,-1.493991952088741,1,False,False,True,False,False,False
174,0,1.4802489963766485,0.5424754982762621,0,False,False,False,False,False,True
175,1,-0.872146705973269,-1.0761464014241768,0,False,False,False,False,False,True
176,1,-0.8008619877202412,0.7401801894207066,1,True,False,False,False,False,False
177,1,-0.5870078329611578,1.5588636159028242,1,False,False,False,False,True,False
178,1,0.2684087860751759,-0.46762952927943047,1,True,False,False,False,False,False
179,0,-0.7295772694672134,1.0956161193621636,0,False,False,False,False,False,True
180,1,1.4089642781236207,0.0034741612577178635,1,False,False,False,False,False,True
181,1,-0.016730086936935347,-1.2394024263179886,0,False,False,False,True,False,False
182,1,1.0525406868584817,0.9016708505653593,1,True,False,False,False,False,False
183,0,-1.3711397337444637,1.7501247293628392,1,False,True,False,False,False,False
184,1,1.6228184328827042,1.3076764275395418,0,False,False,True,False,False,False
185,1,-1.228570297238408,-1.6595549864274763,1,False,False,False,True,False,False
