nom,genre,age,profession,revenu,achat
Nom_1,femme,50,artiste,4681.75,oui
Nom_2,HOMME,58,étudiant,6439.18,oui
Nom_3,femme,43,vendeur,2376.32,non
Nom_4,femme,52,vendeur,4784.32,oui
Nom_5,homme,51,artiste,4968.08,oui
Nom_6,femme,29,artiste,6678.79,oui
Nom_7,homme,43,ingénieur,5865.88,non
Nom_8,femme,59,ingénieur,5536.72,non
Nom_9,homme,34,enseignant,2417.8,non
Nom_10,femme,39,médecin,8535.83,oui
Nom_11,homme,60,vendeur,8146.83,oui
Nom_12,,27,ingénieur,8796.67,oui
Nom_13,femme,21,médecin,2947.78,non
Nom_14,femme,41,vendeur,8328.97,non
Nom_15,femme,64,médecin,3841.24,non
Nom_16,femme,56,vendeur,8543.99,non
Nom_17,femme,55,étudiant,1260.39,non
Nom_18,femme,35,ingénieur,3784.1,non
Nom_19,homme,41,vendeur,8945.46,non
Nom_20,homme,20,artiste,1338.65,non
Nom_21,femme,53,artiste,8982.98,non
Nom_22,homme,41,vendeur,9625.49,non
Nom_23,femme,26,artiste,2685.86,non
Nom_24,homme,20,vendeur,3618.85,oui
Nom_25,femme,19,enseignant,2485.11,non
Nom_26,homme,18,vendeur,5556.84,non
Nom_27,femme,25,étudiant,,oui
Nom_28,homme,51,artiste,1827.8,non
Nom_29,inconnu,49,étudiant,2450.54,oui
Nom_30,homme,25,ingénieur,3595.11,oui
Nom_31,femme,60,vendeur,8867.07,oui
Nom_32,femme,28,vendeur,8674.52,oui
Nom_33,homme,46,étudiant,3154.79,non
Nom_34,femme,49,étudiant,5035.71,non
Nom_35,homme,26,enseignant,4952.78,non
Nom_36,homme,33,artiste,4623.87,non
Nom_37,femme,45,médecin,7931.45,oui
Nom_38,homme,28,étudiant,2880.09,oui
Nom_39,femme,23,médecin,5950.16,oui
Nom_40,femme,37,ingénieur,2590.23,non
Nom_41,femme,19,vendeur,8926.11,non
Nom_42,femme,63,vendeur,,non
Nom_43,femme,52,artiste,5720.02,non
Nom_44,femme,64,artiste,8333.83,oui
Nom_45,femme,29,artiste,8774.81,non
Nom_46,femme,43,ingénieur,5414.96,oui
Nom_47,femme,58,médecin,9320.95,oui
Nom_48,homme,35,artiste,6529.53,non
Nom_49,femme,60,artiste,1695.9,non
Nom_50,femme,63,enseignant,3213.42,non
Nom_51,homme,49,artiste,1332.48,non
Nom_52,femme,24,artiste,7450.42,non
Nom_53,femme,60,médecin,4420.27,non
Nom_54,homme,29,enseignant,8992.95,oui
Nom_55,homme,24,artiste,4939.37,oui
Nom_56,femme,36,enseignant,1181.03,non
Nom_57,homme,21,étudiant,,oui
Nom_58,femme,43,ingénieur,4902.42,non
Nom_59,homme,18,vendeur,5244.91,oui
Nom_60,femme,36,enseignant,6270.75,oui
Nom_61,femme,56,artiste,1278.87,oui
Nom_62,homme,44,ingénieur,4395.65,oui
Nom_63,homme,45,médecin,3334.34,oui
Nom_64,femme,54,artiste,3508.72,non
Nom_65,femme,62,vendeur,6991.62,non
Nom_66,femme,41,artiste,,oui
Nom_67,homme,53,artiste,3257.18,oui
Nom_68,femme,41,médecin,4566.63,non
Nom_69,homme,19,artiste,3133.24,oui
Nom_70,homme,62,médecin,4058.41,oui
Nom_71,femme,34,artiste,9973.25,oui
Nom_72,femme,42,médecin,9815.18,non
Nom_73,homme,43,artiste,3471.64,oui
Nom_74,homme,24,ingénieur,6631.03,oui
Nom_75,homme,47,étudiant,6769.99,non
Nom_76,homme,42,enseignant,5107.03,oui
Nom_77,homme,63,artiste,7474.6,oui
Nom_78,homme,26,étudiant,9392.85,non
Nom_79,homme,62,vendeur,1018.62,non
Nom_80,homme,41,médecin,,non
Nom_81,femme,53,vendeur,5714.73,oui
Nom_82,femme,31,médecin,3978.12,oui
Nom_83,homme,50,médecin,8359.69,oui
Nom_84,femme,33,enseignant,8283.06,non
Nom_85,homme,19,enseignant,5676.45,oui
Nom_86,HOMME,28,enseignant,8132.05,non
Nom_87,homme,18,artiste,1263.97,non
Nom_88,femme,27,enseignant,2059.15,non
Nom_89,homme,43,enseignant,6260.42,non
Nom_90,femme,28,enseignant,1279.58,non
Nom_91,homme,64,étudiant,5235.1,non
Nom_92,homme,32,artiste,9446.26,oui
Nom_93,homme,30,enseignant,5630.83,non
Nom_94,femme,30,étudiant,,non
Nom_95,femme,58,médecin,6727.45,oui
Nom_96,homme,27,artiste,2395.02,oui
Nom_97,HOMME,23,enseignant,4159.95,non
Nom_98,femme,21,enseignant,3613.85,non
Nom_99,femme,25,ingénieur,3828.89,non
Nom_100,homme,49,médecin,1383.41,oui
Nom_101,inconnu,32,enseignant,9572.68,non
Nom_102,homme,49,artiste,4196.63,non
Nom_103,homme,61,étudiant,2433.71,oui
Nom_104,femme,31,vendeur,9542.17,oui
Nom_105,homme,63,médecin,1425.35,non
Nom_106,homme,56,étudiant,8634.86,oui
Nom_107,homme,31,ingénieur,4269.36,non
Nom_108,femme,37,vendeur,7328.88,oui
Nom_109,femme,19,ingénieur,,non
Nom_110,femme,42,ingénieur,1272.3,non
Nom_111,homme,43,enseignant,8095.32,oui
Nom_112,femme,20,enseignant,2210.67,non
Nom_113,femme,31,médecin,8518.47,oui
Nom_114,homme,36,ingénieur,8616.29,non
Nom_115,homme,58,vendeur,,oui
Nom_116,femme,53,vendeur,8565.4,non
Nom_117,femme,65,ingénieur,,oui
Nom_118,homme,34,médecin,3081.4,oui
Nom_119,homme,47,médecin,,oui
Nom_120,femme,57,ingénieur,4178.06,oui
Nom_121,femme,28,étudiant,8530.17,non
Nom_122,homme,42,étudiant,3660.46,non
Nom_123,homme,39,enseignant,4749.87,non
Nom_124,femme,33,vendeur,8925.46,non
Nom_125,femme,44,étudiant,4016.86,oui
Nom_126,homme,47,enseignant,1887.9,oui
Nom_127,homme,59,vendeur,7103.18,non
Nom_128,homme,38,étudiant,2426.18,non
Nom_129,homme,30,médecin,2234.71,non
Nom_130,HOMME,32,enseignant,8103.29,non
Nom_131,femme,46,artiste,5631.03,oui
Nom_132,homme,27,médecin,6841.83,oui
Nom_133,homme,18,vendeur,7845.15,oui
Nom_134,homme,38,étudiant,4436.48,non
Nom_135,homme,33,étudiant,2582.67,non
Nom_136,homme,35,ingénieur,7023.54,oui
Nom_137,homme,36,vendeur,5455.67,non
Nom_138,femme,55,vendeur,6455.3,oui
Nom_139,,60,étudiant,4294.27,oui
Nom_140,femme,59,artiste,8628.85,oui
Nom_141,homme,19,étudiant,5222.25,non
Nom_142,homme,55,médecin,9554.62,oui
Nom_143,femme,44,ingénieur,6406.89,oui
Nom_144,homme,47,étudiant,4868.93,oui
Nom_145,femme,61,étudiant,3555.13,oui
Nom_146,homme,27,artiste,2853.9,oui
Nom_147,femme,59,enseignant,6700.27,oui
Nom_148,homme,18,artiste,4643.7,non
Nom_149,homme,43,vendeur,1640.75,oui
Nom_150,,56,enseignant,7658.59,oui
Nom_151,homme,33,vendeur,1635.43,oui
Nom_152,homme,58,médecin,1689.68,oui
Nom_153,femme,57,artiste,6026.33,non
Nom_154,homme,39,vendeur,5457.53,oui
Nom_155,homme,46,médecin,8595.19,oui
Nom_156,homme,26,vendeur,8043.04,oui
Nom_157,femme,63,artiste,1171.66,oui
Nom_158,femme,19,étudiant,6660.17,oui
Nom_159,femme,26,ingénieur,1650.98,oui
Nom_160,homme,32,enseignant,4612.85,non
Nom_161,homme,60,médecin,9494.35,oui
Nom_162,homme,49,étudiant,7555.01,non
Nom_163,homme,20,médecin,3620.79,non
Nom_164,femme,41,étudiant,2187.07,oui
Nom_165,femme,28,médecin,3645.95,non
Nom_166,femme,64,vendeur,2513.16,non
Nom_167,homme,46,vendeur,9757.34,oui
Nom_168,homme,34,médecin,7213.53,oui
Nom_169,femme,41,artiste,5234.92,non
Nom_170,homme,47,étudiant,5018.32,non
Nom_171,homme,35,enseignant,,oui
Nom_172,femme,30,ingénieur,6521.03,oui
Nom_173,homme,23,artiste,3845.12,oui
Nom_174,homme,47,ingénieur,1645.27,oui
Nom_175,femme,61,étudiant,6720.97,non
Nom_176,homme,28,étudiant,2686.71,non
Nom_177,homme,29,artiste,7213.73,oui
Nom_178,homme,32,vendeur,9254.22,oui
Nom_179,homme,44,artiste,4203.38,oui
Nom_180,femme,30,étudiant,8099.62,non
Nom_181,homme,60,étudiant,,oui
Nom_182,homme,40,médecin,2279.81,non
Nom_183,homme,55,artiste,7616.23,oui
Nom_184,femme,21,enseignant,9730.92,oui
Nom_185,homme,63,ingénieur,8628.16,non
Nom_186,,23,médecin,1232.62,oui
Nom_187,femme,58,enseignant,8727.65,oui
Nom_188,femme,51,étudiant,3217.89,oui
Nom_189,homme,25,étudiant,,non
Nom_190,femme,37,artiste,1278.06,non
Nom_191,homme,23,artiste,6377.74,non
Nom_192,femme,42,étudiant,6071.17,non
Nom_193,femme,39,ingénieur,,non
Nom_194,homme,26,ingénieur,4097.96,oui
Nom_195,homme,19,artiste,8477.09,oui
Nom_196,femme,28,médecin,,non
Nom_197,inconnu,39,enseignant,3242.37,oui
Nom_198,other,35,vendeur,7941.82,oui
Nom_199,femme,60,enseignant,9009.1,non
Nom_200,,20,étudiant,5088.4,non
